prop_paisagem_removida;remanescente;maxima;media;minima
0.45276;54.724;1;0.999431818;0.93
0.45375;54.625;1;0.999431818;0.93
0.45474;54.526;1;0.999431818;0.93
0.45573;54.427;1;0.999431818;0.93
0.45672;54.328;1;0.999431818;0.93
0.45771;54.229;1;0.999431818;0.93
0.4587;54.13;1;0.999431818;0.93
0.45969;54.031;1;0.999431818;0.93
0.46068;53.932;1;0.999431818;0.93
0.46167;53.833;1;0.999431818;0.93
0.46266;53.734;1;0.999431818;0.93
0.46365;53.635;1;0.999431818;0.93
0.46464;53.536;1;0.999431818;0.93
0.46564;53.436;1;0.999431818;0.93
0.46663;53.337;1;0.999431818;0.93
0.46762;53.238;1;0.999431818;0.93
0.46861;53.139;1;0.999431818;0.93
0.4696;53.04;1;0.999431818;0.93
0.47059;52.941;1;0.999431818;0.93
0.47158;52.842;1;0.999431818;0.93
0.47257;52.743;1;0.999431818;0.93
0.47356;52.644;1;0.999431818;0.93
0.47455;52.545;1;0.999431818;0.93
0.47554;52.446;1;0.999431818;0.93
0.47653;52.347;1;0.999431818;0.93
0.47752;52.248;1;0.999431818;0.93
0.47851;52.149;1;0.999431818;0.93
0.4795;52.05;1;0.999431818;0.93
0.48049;51.951;1;0.999431818;0.93
0.48148;51.852;1;0.999431818;0.93
0.48247;51.753;1;0.999431818;0.93
0.48347;51.653;1;0.999431818;0.93
0.48446;51.554;1;0.999329545;0.912
0.48545;51.455;1;0.999329545;0.912
0.48644;51.356;1;0.999329545;0.912
0.48743;51.257;1;0.999329545;0.912
0.48842;51.158;1;0.999329545;0.912
0.48941;51.059;1;0.999329545;0.912
0.4904;50.96;1;0.999329545;0.912
0.49139;50.861;1;0.999329545;0.912
0.49238;50.762;1;0.999329545;0.912
0.49337;50.663;1;0.999329545;0.912
0.49436;50.564;1;0.999329545;0.912
0.49535;50.465;1;0.999329545;0.912
0.49634;50.366;1;0.999329545;0.912
0.49733;50.267;1;0.999329545;0.912
0.49832;50.168;1;0.999329545;0.912
0.49931;50.069;1;0.999329545;0.912
0.5003;49.97;1;0.999329545;0.912
0.5013;49.87;1;0.999329545;0.912
0.50229;49.771;1;0.999329545;0.912
0.50328;49.672;1;0.999329545;0.912
0.50427;49.573;1;0.999329545;0.912
0.50526;49.474;1;0.999329545;0.912
0.50625;49.375;1;0.999329545;0.912
0.50724;49.276;1;0.999329545;0.912
0.50823;49.177;1;0.999329545;0.912
0.50922;49.078;1;0.999329545;0.912
0.51021;48.979;1;0.999329545;0.912
0.5112;48.88;1;0.999329545;0.912
0.51219;48.781;1;0.999329545;0.912
0.51318;48.682;1;0.999329545;0.912
0.51417;48.583;1;0.999329545;0.912
0.51516;48.484;1;0.999329545;0.912
0.51615;48.385;1;0.999329545;0.912
0.51714;48.286;1;0.999329545;0.912
0.51813;48.187;1;0.999329545;0.912
0.51913;48.087;1;0.999329545;0.912
0.52012;47.988;1;0.999329545;0.912
0.52111;47.889;1;0.999329545;0.912
0.5221;47.79;1;0.999329545;0.912
0.52309;47.691;1;0.999329545;0.912
0.52408;47.592;1;0.999329545;0.912
0.52507;47.493;1;0.999329545;0.912
0.52606;47.394;1;0.999329545;0.912
0.52705;47.295;1;0.999329545;0.912
0.52804;47.196;1;0.999329545;0.912
0.52903;47.097;1;0.999329545;0.912
0.53002;46.998;1;0.999329545;0.912
0.53101;46.899;1;0.999329545;0.912
0.532;46.8;1;0.999329545;0.912
0.53299;46.701;1;0.999329545;0.912
0.53398;46.602;1;0.999329545;0.912
0.53497;46.503;1;0.999329545;0.912
0.53596;46.404;1;0.999329545;0.912
0.53696;46.304;1;0.999329545;0.912
0.53795;46.205;1;0.999329545;0.912
0.53894;46.106;1;0.999329545;0.912
0.53993;46.007;1;0.999329545;0.912
0.54092;45.908;1;0.999329545;0.912
0.54191;45.809;1;0.999329545;0.912
0.5429;45.71;1;0.999329545;0.912
0.54389;45.611;1;0.999329545;0.912
0.54488;45.512;1;0.999329545;0.912
0.54587;45.413;1;0.999329545;0.912
0.54686;45.314;1;0.999329545;0.912
0.54785;45.215;1;0.999329545;0.912
0.54884;45.116;1;0.999329545;0.912
0.54983;45.017;1;0.999329545;0.912
0.55082;44.918;1;0.999329545;0.912
0.55181;44.819;1;0.999329545;0.912
0.5528;44.72;1;0.999329545;0.912
0.55379;44.621;1;0.999329545;0.912
0.55479;44.521;1;0.999329545;0.912
0.55578;44.422;1;0.999329545;0.912
0.55677;44.323;1;0.999329545;0.912
0.55776;44.224;1;0.999329545;0.912
0.55875;44.125;1;0.999329545;0.912
0.55974;44.026;1;0.999329545;0.912
0.56073;43.927;1;0.999329545;0.912
0.56172;43.828;1;0.999329545;0.912
0.56271;43.729;1;0.999329545;0.912
0.5637;43.63;1;0.999329545;0.912
0.56469;43.531;1;0.999329545;0.912
0.56568;43.432;1;0.999329545;0.912
0.56667;43.333;1;0.999329545;0.912
0.56766;43.234;1;0.999329545;0.912
0.56865;43.135;1;0.999329545;0.912
0.56964;43.036;1;0.999329545;0.912
0.57063;42.937;1;0.999329545;0.912
0.57162;42.838;1;0.999329545;0.912
0.57262;42.738;1;0.999329545;0.912
0.57361;42.639;1;0.999329545;0.912
0.5746;42.54;1;0.999329545;0.912
0.57559;42.441;1;0.999329545;0.912
0.57658;42.342;1;0.999329545;0.912
0.57757;42.243;1;0.999329545;0.912
0.57856;42.144;1;0.999329545;0.912
0.57955;42.045;1;0.999329545;0.912
0.58054;41.946;1;0.999329545;0.912
0.58153;41.847;1;0.999329545;0.912
0.58252;41.748;1;0.999329545;0.912
0.58351;41.649;1;0.999329545;0.912
0.5845;41.55;1;0.999329545;0.912
0.58549;41.451;1;0.999329545;0.912
0.58648;41.352;1;0.999329545;0.912
0.58747;41.253;1;0.999329545;0.912
0.58846;41.154;1;0.999329545;0.912
0.58945;41.055;1;0.999329545;0.912
0.59044;40.956;1;0.999329545;0.912
0.59144;40.856;1;0.999329545;0.912
0.59243;40.757;1;0.999232955;0.895
0.59342;40.658;1;0.999232955;0.895
0.59441;40.559;1;0.999232955;0.895
0.5954;40.46;1;0.999232955;0.895
0.59639;40.361;1;0.999232955;0.895
0.59738;40.262;1;0.999232955;0.895
0.59837;40.163;1;0.999232955;0.895
0.59936;40.064;1;0.999232955;0.895
0.60035;39.965;1;0.999232955;0.895
0.60134;39.866;1;0.999232955;0.895
0.60233;39.767;1;0.999232955;0.895
0.60332;39.668;1;0.999232955;0.895
0.60431;39.569;1;0.999232955;0.895
0.6053;39.47;1;0.999232955;0.895
0.60629;39.371;1;0.999232955;0.895
0.60728;39.272;1;0.999232955;0.895
0.60827;39.173;1;0.999232955;0.895
0.60927;39.073;1;0.999232955;0.895
0.61026;38.974;1;0.999232955;0.895
0.61125;38.875;1;0.999232955;0.895
0.61224;38.776;1;0.999232955;0.895
0.61323;38.677;1;0.999232955;0.895
0.61422;38.578;1;0.999232955;0.895
0.61521;38.479;1;0.999232955;0.895
0.6162;38.38;1;0.999232955;0.895
0.61719;38.281;1;0.999232955;0.895
0.61818;38.182;1;0.999232955;0.895
0.61917;38.083;1;0.999232955;0.895
0.62016;37.984;1;0.999232955;0.895
0.62115;37.885;1;0.999232955;0.895
0.62214;37.786;1;0.999232955;0.895
0.62313;37.687;1;0.999232955;0.895
0.62412;37.588;1;0.999232955;0.895
0.62511;37.489;1;0.999232955;0.895
0.6261;37.39;1;0.999232955;0.895
0.6271;37.29;1;0.999232955;0.895
0.62809;37.191;1;0.999232955;0.895
0.62908;37.092;1;0.999232955;0.895
0.63007;36.993;1;0.999232955;0.895
0.63106;36.894;1;0.999232955;0.895
0.63205;36.795;1;0.999232955;0.895
0.63304;36.696;1;0.999232955;0.895
0.63403;36.597;1;0.999232955;0.895
0.63502;36.498;1;0.999232955;0.895
0.63601;36.399;1;0.999232955;0.895
0.637;36.3;1;0.999232955;0.895
0.63799;36.201;1;0.999232955;0.895
0.63898;36.102;1;0.999232955;0.895
0.63997;36.003;1;0.999232955;0.895
0.64096;35.904;1;0.999232955;0.895
0.64195;35.805;1;0.999232955;0.895
0.64294;35.706;1;0.999232955;0.895
0.64393;35.607;1;0.999232955;0.895
0.64493;35.507;1;0.999232955;0.895
0.64592;35.408;1;0.999232955;0.895
0.64691;35.309;1;0.999232955;0.895
0.6479;35.21;1;0.999232955;0.895
0.64889;35.111;1;0.999232955;0.895
0.64988;35.012;1;0.999232955;0.895
0.65087;34.913;1;0.999232955;0.895
0.65186;34.814;1;0.999232955;0.895
0.65285;34.715;1;0.999232955;0.895
0.65384;34.616;1;0.999232955;0.895
0.65483;34.517;1;0.999232955;0.895
0.65582;34.418;1;0.999232955;0.895
0.65681;34.319;1;0.999232955;0.895
0.6578;34.22;1;0.999232955;0.895
0.65879;34.121;1;0.999232955;0.895
0.65978;34.022;1;0.999210227;0.895
0.66077;33.923;1;0.999210227;0.895
0.66176;33.824;1;0.999210227;0.895
0.66276;33.724;1;0.999210227;0.895
0.66375;33.625;1;0.999210227;0.895
0.66474;33.526;1;0.999210227;0.895
0.66573;33.427;1;0.999210227;0.895
0.66672;33.328;1;0.999210227;0.895
0.66771;33.229;1;0.999210227;0.895
0.6687;33.13;1;0.999210227;0.895
0.66969;33.031;1;0.999210227;0.895
0.67068;32.932;1;0.999210227;0.895
0.67167;32.833;1;0.999210227;0.895
